mergeKey,classification,severity,action,comment
bbca3251e669a9b1d74b0ec2b8600d9e,Bug,Minor,Undecided,ctors
d320b39ca55d42997c341a2dbefe1bdf,Bug,Minor,Undecided,ctors
189571646f5c63cc053dc67f920a4dad,Bug,Minor,Undecided,ctors
c56b8aa1401a41541255bfbc8a7ae5a4,Bug,Minor,Undecided,ctors
9bb4c85c7bace4795e03fb6cc220d7f5,Bug,Minor,Undecided,ctors
08df227e4c9cf5d176bf03313e116659,Bug,Minor,Undecided,ctors
b84f95adf4b598f958ef4e26a9f1cd31,Bug,Minor,Undecided,ctors
32e400ec9076c5b9b8e8a7fd1f63e996,Bug,Minor,Undecided,ctors
ea3f9efe19f15e75dbfba39eb6d93289,Bug,Minor,Undecided,ctors
70934b9843d6eb1115c1ed7f0fd0f557,Bug,Minor,Undecided,ctors
d21a8664c20e4b64bc40c82c66ead9de,Bug,Minor,Undecided,ctors
cd117a36c4b43fdf89bb14271b803617,Bug,Minor,Undecided,ctors
9520fb0d9ea6373754a7ee4b9fe10a31,Bug,Minor,Undecided,ctors
f7e4a533a674e291a6cb1b2505be2862,Bug,Minor,Undecided,ctors
34bf6eab15ae35c92feb8ba8510309f8,Bug,Minor,Undecided,ctors
4e5339186dc039f1dc62b0d277032a90,Bug,Minor,Undecided,ctors
72a351f24d81ad39772f5885ed4b82d9,Bug,Minor,Undecided,ctors
c6853950ecc51aae44c6e14155836101,Bug,Minor,Undecided,ctors
07fd859d1904263fec421d9d4b8e4550,Bug,Minor,Undecided,ctors
c173f62c64e5c1ebb0de2907a2abcc95,Bug,Minor,Undecided,ctors
da781421005babcd04239d64096ec7b9,Bug,Minor,Undecided,ctors
c069a944793e2c9d49d313ca3e21ed3d,Bug,Minor,Undecided,ctors
cf83e74917367399aa3479ea1504380c,Bug,Minor,Undecided,ctors
fd58c35516d00c8ed31ae1336dbb8252,Bug,Minor,Undecided,ctors
058e3eaf7a1e09a0961470cb9e29c9d1,Bug,Minor,Undecided,ctors
0c890911ba7a6ee224da2ecc111004b3,Bug,Minor,Undecided,ctors
b027ff872add66b91c1585b8b3b3440d,Bug,Minor,Undecided,ctors
a21e16c288c5ac13c2e8ec40974f7cb9,Bug,Minor,Undecided,ctors
427e5cc165721bb307d48c050918cabe,Bug,Minor,Undecided,ctors
8bbe3b0f071a7529b35a3fa8a07f35b3,Bug,Minor,Undecided,ctors
4fe66afb989c906cfb110bcc02466f52,Bug,Minor,Undecided,ctors
de7fe3ae176e4c0b9a514b92497d2861,Bug,Minor,Undecided,ctors
f665be6ee58a29fe2b1994b949f742ab,Bug,Minor,Undecided,ctors
36821b8ceb2059bf7f988687708154a7,Bug,Minor,Undecided,ctors
0c9b8992bda8cec012b6b17cea7ec72e,Bug,Minor,Undecided,ctors
be6f5b0bf56e1eca8774153977833afd,Bug,Minor,Undecided,ctors
e2f23695048ddf758d706d1d32651ae9,Bug,Minor,Undecided,ctors
826fbcc05a86589c523bde92884be6e1,Bug,Minor,Undecided,ctors
4c919b96c7edc3ce661520efff27a323,Bug,Minor,Undecided,ctors
ad7d50872420a7ec06d0bbe45fa8ac07,Intentional,Unspecified,Undecided,
cb89a10b9b31c797c8305b4049e88c55,Intentional,Unspecified,Undecided,
00b0bf054dfb46caed3f7c02081a9017,Intentional,Unspecified,Undecided,
d2c3ecf922e71ad6b75861d857f806c5,Intentional,Unspecified,Undecided,
09c8518ce187ab0bea62adf03e985b97,Bug,Minor,Undecided,ctors
487d41ffd02f6836433ea7c0643fddcb,Bug,Unspecified,Undecided,
3b727b7102dde8c8864848f7ea85287e,Bug,Unspecified,Undecided,
18e38a3bec8da6d2f274d44a4a48b57a,Bug,Unspecified,Undecided,
1f7089d96ae21e8a59e8be6f6bfe192b,Bug,Unspecified,Undecided,
36fceb42b9a2fb5a01726d4ac948af23,Bug,Unspecified,Undecided,
b03a9efdeb5dbb2753b159d18f8460fd,Intentional,Unspecified,Ignore,JS going away
e5b567aa563164a666cc39b7373bea17,Intentional,Unspecified,Ignore,JS going away
3f93d064a35a4f537a14eb4e5f9de921,Intentional,Unspecified,Ignore,JS going away
6586a8fc7eda7e634b01096780f72f3f,Intentional,Unspecified,Undecided,
c4a127ec8fb9a03d0ee31e7fb0d1e36f,Intentional,Unspecified,Undecided,
d69d7db91e7ba73dc294977f2eca8458,Bug,Unspecified,Undecided,
f44dfcedbab89d42521d8a0563553d32,Intentional,Unspecified,Ignore,JS going away
cd427ab9d86470c6a64953023acc5b4b,Bug,Unspecified,Undecided,
970878246e601af3c93a4167e95dca91,Bug,Unspecified,Undecided,
4be669aabae2638084328a5f0a487116,Intentional,Unspecified,Undecided,
bb97b3751f553d2381ef4a74ece80762,False Positive,Unspecified,Undecided,
2516b68566b2fcabef5eb627cab43ba8,False Positive,Unspecified,Undecided,
e5b6129dc8b2fc78ffb8ae8b122cc414,Bug,Unspecified,Undecided,
52e28ce73561040f8cbf4df7739f24b8,Bug,Unspecified,Undecided,3rd party
dc2be5eb9ad2bc2233fb28712001c1e4,Bug,Unspecified,Undecided,
225bbe493e53c26020b2c9e396fc6928,Bug,Unspecified,Undecided,
fc236c763b21fd5c54bc5062a8afef5f,Bug,Unspecified,Undecided,
5d1a7283d2922cb705451576eda5a436,Bug,Unspecified,Undecided,
72d0be5be9abddd5ab236355a3235efe,Bug,Unspecified,Undecided,
